cycle,send_rate,sent,burst_period,commanded_bandwidth,service_rate,serviced,sender_outstanding,noc_outstanding,receiver_queue,arrival_noc,arrival_receiver,response_noc,response_sender,raw_throttle,delayed_throttle,queue_over_capacity,sent_reqs,sent_bytes,serviced_reqs,serviced_bytes,forward_sn_occupancy,pending_noc_arrivals,noc_queue,forward_nr_occupancy,return_rn_occupancy,return_ns_occupancy,sender_noc_inflight,sender_noc_os_gap,noc_queue_over_capacity,sender_inflight_over_capacity,sender_backpressure,sender_check,burst_active
0,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,False,False,False,True,True
1,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,False,False,False,False,True
2,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,False,False,False,False,True
3,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,False,False,False,False,True
4,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.4545454545454546,0.4545454545454546,False,False,False,False,True
5,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,0.5454545454545455,0.5454545454545455,False,False,False,False,True
6,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.6363636363636365,0.6363636363636365,False,False,False,False,True
7,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.7272727272727274,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.7272727272727274,0.0,0.0,0.0,0.0,0.0,0.7272727272727274,0.7272727272727274,False,False,False,False,True
8,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.8181818181818183,0.8181818181818183,False,False,False,False,True
9,2.909090909090909,2.909090909090909,176.0,2.909090909090909,3.0,0.0,0.9090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.09090909090909091,2.909090909090909,0.0,0.0,0.9090909090909093,0.0,0.0,0.0,0.0,0.0,0.9090909090909093,0.9090909090909093,False,False,False,False,True
