指标,无流控,NOC Watermark,Sender Outstanding,Smith PI
最大 Sender Outstanding,427,85,96,105
最大 NOC Outstanding,400,75,87,96
最大 Queue,372,66,78,87
最大 NOC Queue,0,0,0,0
最大 Sender-NOC Inflight,31,31,31,31
最大物理前向 Inflight,16,16,16,16
Sender Overshoot,331,0,0,9
NOC Overshoot,344,19,31,40
Throughput,2.781,2.709,2.725,2.709
Throughput Req/Cycle,0.0869,0.0847,0.0852,0.0847
平均命令带宽,2.909,2.68,2.538,2.713
最小正命令带宽,2.909,2.909,2.909,0.3196
最大 Burst Period,176,176,176,1602
Sender Settling Time,46698,167,13578,2474
NOC Settling Time,47199,-,-,-
Send Rate <= Receiver Time,6000,706,5992,1058
Idle Ratio,0.9091,0.9147,0.9141,0.9147
Sender Backpressure Ratio,0,0,0,0
